timestamp,temperature,wind
2026-06-16T10:53,15.9,4.6
2026-06-16T16:23,20.6,5.7
2026-06-16T20:37,26.4,12.7
2026-06-17T02:43,18.8,11.2
2026-06-17T10:25,15.9,1.3
2026-06-17T14:50,16.9,1.8
2026-06-17T19:58,26.1,9.5
2026-06-18T02:40,19.0,11.5
2026-06-18T10:04,16.7,4.2
2026-06-18T14:46,18.2,6.5
2026-06-18T20:10,22.1,10.1
2026-06-19T02:56,18.0,10.1
2026-06-19T10:11,16.5,2.7
2026-06-19T14:42,17.1,3.8
2026-06-19T19:25,19.8,8.0
2026-06-20T02:29,18.4,13.1
2026-06-20T08:39,14.7,5.9
2026-06-20T13:26,13.6,6.0
2026-06-20T19:08,23.0,8.7
2026-06-21T02:43,18.4,11.8
2026-06-21T09:34,14.5,6.2
2026-06-21T12:35,14.2,5.6
2026-06-21T18:28,22.3,8.0
2026-06-22T00:33,22.2,14.3
2026-06-22T07:52,16.5,4.4
2026-06-22T13:49,16.3,4.3
2026-06-22T19:03,26.5,8.4
2026-06-23T00:31,23.9,12.8
2026-06-23T07:09,16.8,4.8
2026-06-23T12:51,17.0,2.9
2026-06-23T18:37,21.9,7.2
2026-06-24T00:25,23.3,13.8
2026-06-24T07:06,17.4,4.9
2026-06-24T12:40,16.9,5.0
2026-06-24T18:32,24.3,8.3
2026-06-25T00:30,23.6,12.4
2026-06-25T07:06,16.5,5.2
2026-06-25T12:43,16.5,2.6
2026-06-25T18:41,20.9,7.3
2026-06-26T00:31,22.8,15.8
2026-06-26T07:12,16.4,5.0
2026-06-26T12:38,16.5,2.0
2026-06-26T18:32,22.4,6.7
2026-06-27T00:29,22.5,14.9
2026-06-27T07:00,16.4,3.1
2026-06-27T12:23,17.1,8.6
2026-06-27T18:21,22.9,8.8
2026-06-28T00:28,22.5,16.1
2026-06-28T07:16,17.5,4.8
2026-06-28T12:24,17.2,4.5
2026-06-28T18:21,20.2,10.2
2026-06-29T00:30,21.8,15.3
2026-06-29T07:34,18.0,5.9
2026-06-29T13:22,17.5,4.4
2026-06-29T18:37,20.0,13.7
2026-06-30T00:29,22.7,16.6
2026-06-30T07:12,17.8,5.2
2026-06-30T12:36,18.0,4.8
2026-06-30T18:32,20.9,8.8
2026-07-01T00:30,20.8,14.7
2026-07-01T07:24,17.7,2.5
2026-07-01T12:53,17.5,1.1
2026-07-01T18:36,21.4,8.3
2026-07-02T00:30,21.7,13.0
2026-07-02T08:41,16.9,6.1
2026-07-02T13:29,17.6,3.6
2026-07-02T19:08,23.7,4.0
2026-07-03T01:57,21.5,12.8
2026-07-03T08:48,14.9,5.8
2026-07-03T13:42,16.6,1.3
2026-07-03T19:01,26.3,5.3
2026-07-04T08:23,17.3,4.3
2026-07-04T12:59,14.7,3.1
2026-07-04T18:55,26.2,15.1
2026-07-05T02:03,23.2,8.8
2026-07-05T08:39,17.9,2.3
2026-07-05T13:07,16.7,0.8
2026-07-05T19:01,28.3,11.0
2026-07-06T02:09,22.9,13.8
2026-07-06T09:55,16.4,0.5
2026-07-06T14:58,20.0,4.1
2026-07-06T19:41,29.9,9.9
2026-07-07T02:04,22.1,11.5
2026-07-07T09:22,16.8,5.8
2026-07-07T14:06,16.8,1.3
2026-07-07T19:40,30.8,8.4
2026-07-08T01:45,24.0,14.2
2026-07-08T08:07,17.5,5.6
2026-07-08T13:29,16.1,4.4
2026-07-08T19:06,30.8,10.1
2026-07-09T01:56,23.6,13.4
2026-07-09T09:30,17.6,6.5
2026-07-09T14:30,18.7,2.3
2026-07-09T19:21,27.8,7.7
2026-07-10T01:55,22.9,11.4
2026-07-10T09:17,18.3,3.6
2026-07-10T13:58,18.0,4.0
2026-07-10T19:15,28.5,13.1
2026-07-11T01:44,24.5,11.6
2026-07-11T07:39,18.3,5.1
2026-07-11T12:54,19.2,3.6
2026-07-11T18:44,25.0,13.0
2026-07-12T01:46,24.4,15.9
2026-07-12T07:58,19.6,5.0
2026-07-12T12:55,18.7,5.8
2026-07-12T18:50,26.8,9.4
2026-07-13T01:49,23.4,12.6
2026-07-13T08:47,20.2,4.0
2026-07-13T14:04,20.3,5.8
2026-07-13T19:11,29.7,8.6
2026-07-14T01:25,24.6,17.9
2026-07-14T07:46,19.4,2.5
2026-07-14T13:07,18.3,2.9
2026-07-14T19:01,29.7,12.1
2026-07-15T01:22,26.1,14.5
2026-07-15T07:49,20.7,5.8
2026-07-15T13:11,19.1,2.1
2026-07-15T18:54,33.8,7.8
2026-07-16T01:43,28.3,12.0
2026-07-16T07:54,22.2,6.7
2026-07-16T13:19,20.5,3.3
2026-07-16T18:55,32.0,10.3
2026-07-17T01:46,27.2,11.6
2026-07-17T07:51,21.3,6.6
2026-07-17T13:04,19.9,6.2
2026-07-17T18:52,29.1,12.3
2026-07-18T01:27,28.3,11.5
2026-07-18T07:26,21.7,4.0
2026-07-18T12:51,20.1,1.3
2026-07-18T18:45,30.2,11.0
2026-07-19T01:44,25.9,11.4
2026-07-19T07:58,20.7,4.2
2026-07-19T12:53,19.4,2.5
2026-07-19T18:50,30.3,12.2
2026-07-20T03:21,22.1,6.3
2026-07-20T08:39,20.6,2.9
2026-07-20T13:47,20.5,3.8
2026-07-20T19:24,31.4,9.0
2026-07-21T01:44,28.0,12.5
2026-07-21T08:07,22.1,4.2
2026-07-21T13:15,20.6,3.4
2026-07-21T19:02,30.8,11.3
2026-07-22T01:43,26.2,19.8
2026-07-22T08:07,21.6,5.8
2026-07-22T13:20,21.4,5.4
2026-07-22T18:56,28.2,9.8
2026-07-23T01:50,25.6,10.7
2026-07-23T08:10,20.3,4.1
2026-07-23T13:23,19.7,4.7
2026-07-23T18:58,32.7,7.7
2026-07-24T01:46,26.4,12.3
2026-07-24T08:06,21.4,2.1
2026-07-24T13:16,19.8,1.9
2026-07-24T19:11,30.5,9.3
2026-07-25T01:46,27.2,9.3
2026-07-25T07:49,22.6,4.1
2026-07-25T13:00,20.7,2.1
2026-07-25T18:52,31.1,7.9
2026-07-26T01:49,27.5,9.7
2026-07-26T08:07,21.3,4.0
2026-07-26T12:57,20.0,6.4
2026-07-26T18:55,32.6,13.1
2026-07-27T01:56,28.1,10.3
2026-07-27T09:29,20.2,3.1
2026-07-27T14:09,21.1,0.5
2026-07-27T19:11,32.1,9.3
2026-07-28T01:40,26.4,12.3
2026-07-28T08:13,20.2,2.8
2026-07-28T13:29,19.0,5.6
2026-07-28T19:06,29.7,6.5
2026-07-29T01:41,25.6,12.5
2026-07-29T08:19,19.6,1.3
